Retron (sub)b	msr/msd familiyc	Cluster/domaind	Accesione
 IV		na	WP_012982829.1
 IV	 IV	826_1	ALL66139.1
 IV	 IV	826_1	WP_093223969.1
 IV	 IV	826_1	fig|2015553.3.peg.2940
 IV		826_1	WP_096082869.1
 IV	 IV	np	ONM67687.1
 IV	 IV	826_1	fig|316.213.peg.2906
 IV	 IV	826_1	WP_078734267.1
 IV	 IV	826_1	WP_079384669.1
 IV	 IV	826_1	WP_095948157.1
 IV	 IV	826_1	WP_011625020.1
 IV		826_1	WP_100292553.1
 IV	 IV	826_1	WP_055021484.1
 IV	 IV	826_1	PHS01491.1
 IV		826_1	fig|2024618.3.peg.1141
 IV		826_1	WP_114139108.1
 V	 V	85_1	WP_077749737.1
 V	 V	85_1	WP_078451378.1
 V	 V	85_1	WP_007245785.1
 V	 V	np	fig|316.280.peg.1454
 V	 V	85_1	WP_086822222.1
 V	 V	85_1	WP_073268605.1
 V	 V	85_1	WP_095280108.1
 V	 V	na	WP_095715328.1
 V	 V	na	WP_050111525.1
 V	 V	na	WP_013724211.1
 V		85_1	WP_021140819.1
 V	 V	85_1	fig|1094342.5.peg.1611
 V	 V	85_1	fig|1932666.4.peg.1886
 V	 V	85_1	WP_087148323.1
 V	 V	85_1	WP_064022638.1
 V	 V	85_1	PIY64876.1
 V	 V	85_1	WP_006710190.1
 V	 V	85_1	WP_045040928.1
 V		85_1	WP_054543201.1
 V	 V	85_1	WP_080540293.1
 V	 V	85_1	fig|2032624.3.peg.2540
 V	 V	85_1	KJT50308.1
 V		na	WP_005761319.1
 V	 V	85_1	ODQ05744.1
 V	 V	85_1	KKW01006.1
 V		np	KMZ12260.1
 V		85_1	SFQ04394.1
 V		85_1	WP_025373922.1
 V		85_1	WP_093341200.1
 V		85_1	WP_091453700.1
 VI		2_1	SAY51889.1
 VI		2_1	WP_065255232.1
 VI		2_1	WP_049330876.1
 VI		na	fig|1196095.197.peg.151
 VI		2_1	WP_072956843.1
 VI		np	fig|857087.3.peg.3286
 VI		2_1	fig|1952222.3.peg.1307
 VI		2_1	WP_039486261.1
 VI		2_1	WP_065545234.1
 VI		2_1	WP_033094845.1
 VI		2_1	WP_057552475.1
 VI		na	WP_004726393.1
 VI		2_1	fig|2020862.3.peg.1934
 VI		2_1	fig|624.1260.peg.1437
 VI		2_1	WP_011516221.1
 VI		np	fig|1947370.3.peg.1923
 VI		2_1	WP_038400955.1
 VI		na	fig|1951903.3.peg.117
 VI		2_1	WP_024914507.1
 VI		2_1	WP_042893228.1
 VI		2_1	WP_038238211.1
 VI		np	EXI65661.1
 VI		2_1	WP_016452106.1
 VI		2_1	WP_013517170.1
 VI		ni	OXC73828.1
 VI		2_1	AIO65205.1
 VI		2_1	WP_013234866.1
 VI		ni	WP_082884385.1
 VI		2_1	fig|2006849.4.peg.371
 VI		2_1	WP_074262787.1
 VI		2_1	WP_009906786.1
 VI		na	WP_022524328.1
 VI		2_1	WP_081817450.1
 VI		np	WP_020312233.1
 VI		np	KPY75916.1
 VI		np	fig|1793966.3.peg.180
 VI		np	fig|1891229.16.peg.2033
 VI		np	WP_099454886.1
 VI		np	WP_092400423.1
 VI		2_1	WP_012315430.1
 VI		2_1	WP_020799819.1
 VI		na	WP_004574016.1
 VI		np	fig|1435425.3.peg.787
 VI		np	WP_045490543.1
 VI		2_1	WP_011506503.1
 VI		np	fig|1609967.3.peg.3047
 VI		np	fig|1492738.3.peg.2698
 VI		2_1	WP_092849245.1
 VI		2_1	WP_025835957.1
 VI		2_1	fig|2025877.3.peg.668
 VI		np	fig|246787.6.peg.2081
 VI		np	fig|1339287.3.peg.1113
 VI		np	fig|1946017.3.peg.1516
 VI		2_1	WP_038655380.1
 VI		2_1	WP_093669272.1
 VI		2_1	WP_073241067.1
 VI		2_1	WP_096193803.1
 VI		na	WP_076357635.1
 VI		np	WP_073238193.1
 VI		na	WP_076451370.1
 VI		np	WP_091906542.1
 VI		2_1	WP_051365712.1
 VI		2_1	fig|1938609.3.peg.1765
 VI		2_1	SDJ72221.1
 VI		2_1	fig|1985174.3.peg.2584
 VI		2_1	WP_092737749.1
 VI		2_1	fig|192149.3.peg.42
 VI		np	fig|418630.3.peg.1685
 VI		2_1	fig|1915314.3.peg.3469
 VI		2_1	fig|2030815.3.peg.2725
 VI		2_1	fig|2035451.3.peg.4632
 VI		2_1	WP_043872258.1
 VI		2_1	WP_055683826.1
 VI		np	fig|1947537.3.peg.498
 VI		2_1	WP_069065961.1
 VI		2_1	WP_084280100.1
 VI		2_1	fig|1895845.3.peg.487
 VI		2_1	GAK73419.1
 VI		2_1	WP_090966398.1
 VI		2_1	WP_091860144.1
 VI		2_1	WP_085092006.1
 VI		2_1	fig|1528100.4.peg.28
 VI		2_1	fig|32057.3.peg.9515
 VI		2_1	fig|103690.10.peg.3571
 VI		na	fig|1137095.11.peg.15
 VI		2_1	CDZ48826.1
 VI		2_1	WP_072340070.1
 VI		2_1	OYR18277.1
 VI		2_1	WP_093509439.1
 VI		2_1	WP_081799025.1
 VI		2_1	PIY55545.1
 VI		2_1	SDT44912.1
 VI		na	WP_096350346.1
 VI		2_1	WP_074962594.1
 VI		2_1	WP_038724888.1
 VI		2_1	WP_012217410.1
 VI		2_1	WP_100428762.1
 VI		2_1	WP_082161008.1
 VI		2_1	AFL73219.1
 VI		na	WP_014427842.1
 VI		2_1	fig|364030.3.peg.3554
 VI		2_1	KGW20495.1
 VI		2_1	SFE83076.1
 VI		2_1	WP_013028226.1
 VI		2_1	WP_080311424.1
 VI		2_1	fig|337.13.peg.3872
 VI		2_1	WP_082643860.1
 VI		np	CKH90039.1
 VI		2_1	WP_083287254.1
 VI		2_1	WP_122648546.1
 VI		2_1	WP_082706753.1
 VI		2_1	WP_080936076.1
 VI		2_1	WP_000746343.1
 VI		np	EMX54653.1
 VI		2_1	WP_053270700.1
 VI		2_1	fig|1736224.3.peg.3731
 VI		np	fig|1175299.4.peg.709
 VI		np	WP_001461245.1
 VI		2_1	fig|617145.3.peg.3535
 VI		2_1	fig|1440054.3.peg.3851
 VI		2_1	fig|617135.3.peg.594
 VI		2_1	WP_023267764.1
 VI		2_1	fig|1481663.36.peg.3628
 VI		2_1	fig|670.893.peg.2716
 VI		2_1	fig|680.33.peg.5391
 VI		2_1	fig|298386.8.peg.4344
 VI		np	fig|663.73.peg.714
 VI		np	fig|1333511.3.peg.3208
 VI		2_1	WP_064574154.1
 VI		2_1	WP_064645509.1
 VI		2_1	fig|630.105.peg.4248
 VI		np	fig|400673.7.peg.1969
 VI		ni	WP_092678546.1
 VI		np	WP_069476513.1
 VI		na	fig|1267535.3.peg.2394
 VI		2_1	WP_000446053.1
 VI		2_1	fig|1948587.3.peg.786
 VI		np	WP_014949305.1
 VI		2_1	fig|1797397.3.peg.2386
 VI		2_1	fig|1386968.3.peg.847
 VI		na	WP_074900850.1
 VI		2_1	fig|1975705.3.peg.898
 VI		ni	WP_066184577.1
 VI		2_1	fig|1780380.4.peg.4010
 VI		2_1	fig|556261.3.peg.2546
 VI		2_1	fig|1193534.6.peg.2375
 VI		np	fig|1042163.3.peg.3771
 VI		2_1	WP_062492190.1
 VI		2_1	WP_081674606.1
 VI		2_1	WP_050781686.1
 VI		2_1	WP_021109137.1
 VI		2_1	WP_046309803.1
 VI		2_1	CBL03706.1
 VI		2_1	WP_090944285.1
 VI		2_1	WP_077305443.1
 VI		2_1	fig|410072.5.peg.40
 VI		2_1	WP_011669870.1
 VI		2_1	WP_015565235.1
 VI		np	CUO23478.1
 VI		np	WP_085748688.1
 VI		2_1	WP_093270014.1
 VI		ni	SHE86352.1
 VI		2_1	WP_000346292.1
 VI		2_1	WP_080465410.1
 VI		np	WP_080662531.1
 VI		2_1	WP_093131554.1
 VI		ni	WP_093336905.1
 VI		2_1	fig|1974627.3.peg.386
 VI		ni	fig|1802603.3.peg.453
 VI		na	fig|392734.5.peg.3006
 VI		np	AGL61879.1
 I-B2	 IB2 (Proteobacteria)	159_1	fig|319224.16.peg.2726
 I-B2	 IB2 (Proteobacteria)	159_1	fig|1720343.3.peg.1263
 I-B2	 IB2 (Proteobacteria)	159_1	fig|1136158.3.peg.3691
 I-B2	 IB2 (Proteobacteria)	159_1	fig|666.3017.peg.1000
 I-B2	 IB2 (Proteobacteria)	159_1	fig|1909458.3.peg.2277
 I-B2	 IB2 (Proteobacteria)	159_1	fig|1638949.3.peg.831
 I-B2	 IB2 (Proteobacteria)	159_1	fig|493915.3.peg.158
 I-B2	 IB2 (Proteobacteria)	159_1	BAC94535.1
 I-B2		159_1	fig|1191313.3.peg.1135
 I-B2	 IB2 (Proteobacteria)	159_1	fig|670.1244.peg.3807
 I-B2	 IB2 (Proteobacteria)	159_1	fig|1659714.3.peg.4264
 I-B2		159_1	fig|1192730.4.peg.1976
 I-B2	 IB2 (Proteobacteria)	159_1	fig|550.1216.peg.4296
 I-B2	 IB2 (Proteobacteria)	159_1	WP_072269713.1
 I-B2	 IB2 (Proteobacteria)	159_1	WP_053898075.1
 I-B2	 IB2 (Proteobacteria)	159_1	fig|624.1264.peg.1635
 I-B2	 IB2 (Proteobacteria)	159_1	fig|1181777.3.peg.78
 I-B2		159_1	fig|1802256.3.peg.310
 I-B2	 IB2 (Proteobacteria)	159_1	PHR73342.1
 I-B2		159_1	fig|2014260.3.peg.3813
 I-B2	 IB2 (Proteobacteria)	np	WP_042497590.1
 I-B2	 IB2 (Proteobacteria)	159_1	WP_063522799.1
 I-B2	 IB2 (Proteobacteria)	159_1	WP_004186757.1
 I-B2	 IB2 (Proteobacteria)	159_1	WP_040122746.1
 I-B2	 IB2 (Proteobacteria)	159_1	WP_086046550.1
 I-B2	 IB2 (Proteobacteria)	159_1	WP_063849005.1
 I-B2	 IB2 (Proteobacteria)	159_1	WP_023486614.1
 I-B2	 IB2 (Proteobacteria)	159_1	WP_070992278.1
 I-B2		na	fig|1005665.3.peg.2532
 I-B2	 IB2 (Proteobacteria)	159_1	fig|1219066.3.peg.3636
 I-B2	 IB2 (Proteobacteria)	159_1	fig|1225184.4.peg.1222
 I-B2	 IB2 (Proteobacteria)	159_1	fig|675814.3.peg.1256
 I-B2		159_1	SFR59865.1
 I-B2		159_1	fig|853.16.peg.1112
 I-B2		159_1	fig|1965572.3.peg.1423
 I-B2	 IB2 (Firmicutes)	159_1	fig|588581.3.peg.3589
 I-B2	 IB2 (Firmicutes)	159_1	fig|1396.1409.peg.4169
 I-B2	 IB2 (Firmicutes)	159_1	fig|1428.538.peg.4047
 I-B2	 IB2 (Firmicutes)	159_1	fig|1465.16.peg.946
 I-B2		na	WP_087385137.1
 I-B2		159_1	AIF42417.1
 I-B2		159_1	WP_076543941.1
 I-B2		159_1	fig|1121093.3.peg.3089
 I-B2	 IB2 (Firmicutes)	159_1	fig|29367.3.peg.2029
 I-B2		159_1	WP_089719707.1
 I-B2		159_1	fig|307249.3.peg.3585
 I-B2	 IB2 (Firmicutes)	159_1	WP_072949666.1
 I-B2	 IB2 (Firmicutes)	159_1	CCX81854.1
 I-B2	 IB2 (Firmicutes)	159_1	fig|1491.669.peg.2217
 I-B2	 IB2 (Firmicutes)	159_1	fig|1872455.3.peg.401
 VII-A1		RT-DUF3800	fig|576117.5.peg.4005
 VII-A1		RT-DUF3800	fig|1225647.3.peg.1829
 VII-A1		RT-DUF3800	fig|1380380.4.peg.1574
 VII-A1		RT-DUF3800	fig|293.7.peg.2956
 VII-A1		RT-DUF3800	WP_095437634.1
 VII-A1		RT-DUF3800	fig|1912891.7.peg.702
 VII-A1		RT-DUF3800	fig|1736574.3.peg.4024
 VII-A1		RT-DUF3800	fig|227946.13.peg.4105
 VII-A1		RT-DUF3800	fig|1761791.3.peg.4793
 VIII		2446	fig|1560195.5.peg.485
 VIII		2446	fig|1503054.43.peg.6257
 VIII		na	fig|1207504.10.peg.4279
 VIII		2446	WP_092172515.1
 VIII		2446	WP_074815429.1
 VII-A2		na	fig|150146.3.peg.3162
 VII-A2		na	fig|76832.8.peg.3775
 VII-A2		na	fig|1202724.3.peg.994
 VII-A2		na	fig|1805473.3.peg.3678
 VII-A2		2165	fig|253.33.peg.3826
 VII-A2		2165	WP_076561634.1
 VII-A2		2165	fig|2024823.3.peg.95
 VII-A2		na	fig|1250278.4.peg.3462
 VII-A2		2165	fig|1797342.3.peg.689
 VII-A2		2165	WP_084184261.1
 VII-A2		2165	fig|1948560.3.peg.3003
 III-A5		67_1	fig|1392.364.peg.2564
 III-A5		67_1	fig|872970.3.peg.1713
 III-A5		67_1	fig|1385514.3.peg.313
 III-A5		67_1	fig|76853.4.peg.2614
 III-A5		67_1	fig|1423774.3.peg.1262
 III-A5		113_2	fig|1410670.3.peg.2844
 III-A5		113_2	fig|169435.7.peg.1348
 III-A5		113_2	fig|1946597.3.peg.2104
 III-A5		113_2	fig|1948087.3.peg.796
 III-A5		113_2	fig|642492.3.peg.2638
 III-A5		113_2	fig|1950841.3.peg.2383
 IX	 IX	np	fig|555512.3.peg.1251
 IX	 IX	np	fig|383381.3.peg.2538
 IX		na	WP_081629462.1
 IX	 IX	np	fig|1736258.3.peg.3392
 IX		1740_1	fig|1950192.3.peg.426
 IX	 IX	1740_1	fig|170623.6.peg.4661
 IX	 IX	1740_1	fig|170623.7.peg.704
 IX	 IX	np	fig|1981099.3.peg.513
 IX	 IX	np	fig|1250539.3.peg.3491
 IX	 IX	np	fig|1947582.3.peg.2979
 IX	 IX	1740_1	fig|1909294.17.peg.3456
 IX		1740_1	fig|1735583.3.peg.1657
 IX	 IX	1740_1	fig|670.1220.peg.4688
 IX	 IX	np	fig|1004786.3.peg.925
 IX	 IX	1740_1	fig|2013797.3.peg.2109
 IX	 IX	1740_1	fig|1948580.3.peg.3400
 IX	 IX	1740_1	fig|1714300.3.peg.306
 IX	 IX	1740_1	fig|1961547.3.peg.1371
 IX	 IX	1740_1	fig|441162.10.peg.6621
 IX	 IX	1740_1	fig|615.307.peg.4666
 IX	 IX	np	fig|631.3.peg.1883
 IX	 IX	1740_1	fig|1763535.3.peg.1547
 IX	 IX	1740_1	fig|43263.5.peg.2702
 IX	 IX	1740_1	fig|244366.46.peg.3595
 IX	 IX	1740_1	fig|1224150.8.peg.3856
 IX	 IX	np	fig|61645.10.peg.2019
 X		2273_1	fig|1948706.3.peg.2225
 X		2273_1	fig|2026771.13.peg.1697
 X		2273_1	fig|2026771.11.peg.1955
 X		2273_1	fig|2026772.5.peg.424
 X		2273_1	fig|2026801.20.peg.1798
 X		2273_1	fig|2026801.14.peg.1176
 X		2273_1	fig|1951369.3.peg.1157
 X		np	fig|1977087.12.peg.1918
 X		2273_1	fig|2026779.14.peg.4171
 X		2273_1	fig|2026779.28.peg.3264
 X		2273_1	fig|2026779.30.peg.3181
 X		2273_1	fig|2026779.29.peg.2310
 I-C1		RT-Toprim (DXD)	fig|1797235.3.peg.3
 I-C1	 IC	RT-Toprim (DXD)	fig|316.284.peg.937
 I-C1	 IC	RT-Toprim (DXD)	fig|296.11.peg.442
 I-C1	 IC	RT-Toprim (DXD)	fig|1981714.3.peg.993
 I-C1	 IC	RT-Toprim (DXD)	fig|50340.44.peg.6020
 I-C1	 IC	RT-Toprim (DXD)	fig|1761897.3.peg.509
 I-C1	 IC	RT-Toprim (DXD)	fig|1402514.3.peg.154
 I-C1	 IC	RT-Toprim (DXD)	fig|1938440.3.peg.5997
 I-C1		na	fig|1566250.3.peg.959
 I-C1	 IC	RT-Toprim (DXD)	fig|316.357.peg.479
 I-C1	 IC	RT-Toprim (DXD)	fig|287.4433.peg.2945
 I-C1	 IC	RT-Toprim (DXD)	fig|1970515.3.peg.709
 I-C1	 IC	RT-Toprim (DXD)	fig|95486.85.peg.1748
 I-C1	 IC	RT-Toprim (DXD)	fig|292.61.peg.8104
 I-C1	 IC	RT-Toprim (DXD)	fig|1408450.3.peg.3766
 I-C1		na	fig|157910.3.peg.5727
 I-C1	 IC	RT-Toprim (DXD)	fig|279058.16.peg.4239
 I-C1		RT-Toprim (DXD)	fig|1537272.3.peg.1916
 I-C1		RT-Toprim (DXD)	fig|1218081.3.peg.1751
 I-C1	 IC	RT-Toprim (DXD)	fig|573.14059.peg.3113
 I-C1		RT-Toprim (DXD)	fig|40324.192.peg.51
 I-C1	 IC	RT-Toprim (DXD)	fig|1219041.3.peg.4613
 I-C1	 IC	RT-Toprim (DXD)	fig|1561196.3.peg.560
 I-C1	 IC	RT-Toprim (DXD)	fig|1882750.3.peg.1035
 I-C1	 IC	RT-Toprim (DXD)	fig|1736266.3.peg.1145
 I-C1	 IC	RT-Toprim (DXD)	fig|2015350.3.peg.1640
 I-C1	 IC	RT-Toprim (DXD)	fig|58133.4.peg.815
 I-C1		na	fig|1691980.3.peg.1912
 I-C1	 IC	RT-Toprim (DXD)	fig|305.393.peg.1023
 I-C1	 IC	RT-Toprim (DXD)	fig|56449.3.peg.3604
 I-C1		RT-Toprim (DXD)	fig|1281282.5.peg.1894
 I-C1	 IC	RT-Toprim (DXD)	fig|40324.334.peg.1103
 I-C1	 IC	RT-Toprim (DXD)	fig|1349793.3.peg.2529
 I-C1	 IC	RT-Toprim (DXD)	fig|1842727.3.peg.1491
 I-C1		na	fig|1619952.3.peg.5158
 I-C1	 IC	RT-Toprim (DXD)	fig|1970380.3.peg.1914
 I-C1	 IC	na	fig|2015568.3.peg.2963
 I-C1		na	fig|1752215.3.peg.2312
 I-C1	 IC	RT-Toprim (DXD)	fig|1706231.5.peg.3125
 I-C1	 IC	RT-Toprim (DXD)	fig|2013716.3.peg.2169
 I-C1		RT-Toprim (DXD)	fig|1946997.3.peg.3049
 I-C1		RT-Toprim (DXD)	fig|765913.3.peg.2527
 I-C1	 IC	RT-Toprim (DXD)	fig|1743159.3.peg.1891
 I-C1		RT-Toprim (DXD)	fig|1597955.3.peg.3923
 I-C1	 IC	RT-Toprim (DXD)	fig|1184267.3.peg.1626
 I-C1	 IC	RT-Toprim (DXD)	fig|101571.190.peg.3007
 I-C1	 IC	RT-Toprim (DXD)	fig|123899.5.peg.1710
 I-C1	 IC	RT-Toprim (DXD)	fig|463035.3.peg.3900
 I-C1	 IC	RT-Toprim (DXD)	fig|1395608.4.peg.211
 I-C1	 IC	RT-Toprim (DXD)	fig|1947379.3.peg.2784
 I-C1		RT-Toprim (DXD)	WP_074294985.1
 I-C1		RT-Toprim (DXD)	fig|1324617.3.peg.820
 I-C1	 IC	RT-Toprim (DXD)	fig|80868.3.peg.3458
 I-C1	 IC	RT-Toprim (DXD)	fig|1388764.3.peg.1840
 I-C1	 IC	RT-Toprim (DXD)	fig|251747.15.peg.4695
 I-C1	 IC	RT-Toprim (DXD)	fig|670.1020.peg.382
 I-C1	 IC	RT-Toprim (DXD)	fig|1055803.3.peg.1434
 I-C1	 IC	RT-Toprim (DXD)	fig|1201036.3.peg.177
 I-C1	 IC	RT-Toprim (DXD)	fig|1220581.4.peg.1434
 I-C1	 IC	RT-Toprim (DXD)	fig|398.6.peg.6695
 I-C1	 IC	RT-Toprim (DXD)	fig|931866.6.peg.8184
 I-C1	 IC	RT-Toprim (DXD)	fig|142585.3.peg.1658
 I-C1	 IC	RT-Toprim (DXD)	fig|1082933.13.peg.1537
 I-C1	 IC	RT-Toprim (DXD)	fig|1768789.3.peg.791
 I-C1		RT-Toprim (DXD)	fig|1381123.3.peg.3819
 I-C1		RT-Toprim (DXD)	fig|1297570.3.peg.1970
 I-C1	 IC	RT-Toprim (DXD)	fig|935546.3.peg.3816
 I-C1	 IC	RT-Toprim (DXD)	fig|1128253.3.peg.1960
 I-C1		RT-Toprim (DXD)	fig|1444315.4.peg.3983
 I-C1		RT-Toprim (DXD)	fig|1185327.3.peg.1608
 I-C1		RT-Toprim (DXD)	fig|1881043.3.peg.2597
 I-C1		RT-Toprim (DXD)	ALN84423.1
 I-C1		RT-Toprim (DXD)	fig|56460.15.peg.1977
 I-C1	 IC	RT-Toprim (DXD)	fig|1317116.6.peg.2759
 I-C1	 IC	RT-Toprim (DXD)	fig|564137.3.peg.4320
 I-C1	 IC	RT-Toprim (DXD)	fig|1952800.3.peg.3583
 I-C1		na	fig|218673.12.peg.3041
 I-C1	 IC	RT-Toprim (DXD)	fig|1912092.3.peg.2119
 I-C1	 IC	RT-Toprim (DXD)	fig|1736558.3.peg.5006
 I-C1	 IC	RT-Toprim (DXD)	fig|91360.5.peg.3717
 I-C1	 IC	RT-Toprim (DXD)	fig|1948756.3.peg.2576
 I-C1		RT-Toprim (DXD)	fig|1855322.3.peg.103
 I-C1	 IC	RT-Toprim (DXD)	fig|1437360.11.peg.2429
 I-C1		RT-Toprim (DXD)	fig|1871052.3.peg.1026
 I-C1		RT-Toprim (DXD)	fig|1038860.3.peg.8756
 I-C1	 IC	RT-Toprim (DXD)	fig|1898112.54.peg.3758
 I-C1		RT-Toprim (DXD)	fig|1660129.3.peg.4854
 I-C1	 IC	RT-Toprim (DXD)	fig|1482074.3.peg.4109
 I-C1		RT-Toprim (DXD)	fig|1970306.3.peg.552
 I-C1		RT-Toprim (DXD)	fig|1686310.5.peg.1409
 I-C1		RT-Toprim (DXD)	fig|1798192.3.peg.1953
 I-C1		RT-Toprim (DXD)	fig|1235461.17.peg.11
 I-C1		RT-Toprim (DXD)	fig|442.12.peg.222
 I-C1	 IC	RT-Toprim (DXD)	fig|1938607.3.peg.1954
 I-C1	 IC	RT-Toprim (DXD)	fig|1231624.3.peg.39
 I-C1		RT-Toprim (DXD)	fig|1121271.3.peg.4112
 I-C1	 IC	RT-Toprim (DXD)	fig|33059.16.peg.1690
 I-C1	 IC	RT-Toprim (DXD)	fig|502025.10.peg.925
 I-C1		na	fig|1734406.3.peg.691
 I-C1		RT-Toprim (DXD)	fig|1979207.3.peg.4304
 I-C1		RT-Toprim (DXD)	fig|1953057.3.peg.74
 I-C1		RT-Toprim (DXD)	fig|858423.3.peg.10004
 I-C1		RT-Toprim (DXD)	fig|267128.3.peg.2015
 I-C1		RT-Toprim (DXD)	fig|582667.3.peg.5553
 I-C1	 IC	RT-Toprim (DXD)	fig|1187852.3.peg.2712
 I-C1	 IC	RT-Toprim (DXD)	fig|582675.3.peg.1247
 I-C1	 IC	RT-Toprim (DXD)	fig|1951640.3.peg.515
 I-C1	 IC	RT-Toprim (DXD)	fig|1948417.4.peg.1606
 I-C1	 IC	RT-Toprim (DXD)	fig|45074.5.peg.981
 I-C1	 IC	RT-Toprim (DXD)	fig|1434232.4.peg.2927
 I-C1		RT-Toprim (DXD)	fig|1945950.3.peg.3568
 I-C1	 IC	RT-Toprim (DXD)	fig|106654.22.peg.994
 I-C1	 IC	RT-Toprim (DXD)	fig|1977883.3.peg.3023
 I-C1	 IC	RT-Toprim (DXD)	fig|1945948.3.peg.700
 I-C1	 IC	RT-Toprim (DXD)	fig|1226327.3.peg.2796
 I-C1		RT-Toprim (DXD)	fig|1879049.4.peg.5949
 I-C1		RT-Toprim (DXD)	fig|1945955.3.peg.1951
 I-C1		RT-Toprim (DXD)	fig|1675530.3.peg.2149
 I-C1	 IC	RT-Toprim (DXD)	fig|1310638.3.peg.1006
 I-C1	 IC	RT-Toprim (DXD)	fig|1400001.4.peg.34
 I-C1		RT-Toprim (DXD)	fig|1132496.5.peg.136
 I-C1	 IC	RT-Toprim (DXD)	fig|1908263.4.peg.2604
 I-C1	 IC	RT-Toprim (DXD)	fig|375432.4.peg.200
 I-C1	 IC	RT-Toprim (DXD)	fig|400668.8.peg.3776
 I-C1	 IC	RT-Toprim (DXD)	fig|1913989.193.peg.841
 I-C1	 IC	RT-Toprim (DXD)	fig|856793.5.peg.1975
 I-C1	 IC	RT-Toprim (DXD)	SBW23286.1
 I-C1	 IC	RT-Toprim (DXD)	fig|1736225.3.peg.985
 I-C1	 IC	RT-Toprim (DXD)	fig|29486.12.peg.818
 I-C1	 IC	RT-Toprim (DXD)	fig|914128.3.peg.2502
 I-C1	 IC	RT-Toprim (DXD)	fig|1796497.3.peg.952
 I-C1		RT-Toprim (DXD)	fig|1095649.3.peg.3298
 I-C1		na	fig|137584.4.peg.1627
 I-C1	 IC	RT-Toprim (DXD)	fig|173990.3.peg.1773
 I-C1	 IC	RT-Toprim (DXD)	fig|1720343.3.peg.3189
 I-C1	 IC	RT-Toprim (DXD)	fig|1202962.4.peg.1481
 I-C1	 IC	RT-Toprim (DXD)	fig|669.50.peg.2993
 I-C1	 IC	RT-Toprim (DXD)	fig|691.32.peg.1517
 I-C1	 IC	RT-Toprim (DXD)	fig|156578.3.peg.2521
 I-C1	 IC	RT-Toprim (DXD)	fig|661.14.peg.380
 I-C1	 IC	RT-Toprim (DXD)	fig|654.94.peg.1733
 I-C1	 IC	RT-Toprim (DXD)	fig|703.9.peg.319
 I-C1	 IC	RT-Toprim (DXD)	fig|589873.36.peg.1971
 I-C1	 IC	RT-Toprim (DXD)	fig|28107.3.peg.3571
 I-C1	 IC	RT-Toprim (DXD)	fig|1547444.3.peg.4264
 I-C1	 IC	RT-Toprim (DXD)	fig|629266.7.peg.847
 I-C1	 IC	RT-Toprim (DXD)	fig|251722.19.peg.4059
 I-C1	 IC	RT-Toprim (DXD)	fig|587851.4.peg.1470
 I-C1	 IC	RT-Toprim (DXD)	fig|1265490.3.peg.2330
 I-C1	 IC	RT-Toprim (DXD)	fig|316.101.peg.3534
 I-C1	 IC	RT-Toprim (DXD)	fig|1916993.3.peg.4917
 I-C1	 IC	RT-Toprim (DXD)	fig|1628833.3.peg.2448
 I-C1	 IC	RT-Toprim (DXD)	fig|1283291.4.peg.1991
 I-C1		RT-Toprim (DXD)	fig|83963.5.peg.3885
 I-C1	 IC	RT-Toprim (DXD)	fig|1206777.3.peg.4334
 I-C1	 IC	RT-Toprim (DXD)	fig|113268.3.peg.3785
 I-C1	 IC	RT-Toprim (DXD)	fig|1131284.3.peg.1562
 I-C1	 IC	RT-Toprim (DXD)	fig|2026807.7.peg.2258
 I-C1	 IC	RT-Toprim (DXD)	fig|281689.4.peg.2060
 I-C1	 IC	RT-Toprim (DXD)	fig|1188231.4.peg.1200
 I-C1		RT-Toprim (DXD)	fig|1367489.3.peg.682
 I-C1	 IC	RT-Toprim (DXD)	fig|1873135.3.peg.4249
 I-C1	 IC	RT-Toprim (DXD)	fig|663.73.peg.2465
 I-C1	 IC	RT-Toprim (DXD)	fig|1588629.3.peg.1134
 I-C1	 IC	RT-Toprim (DXD)	fig|1121922.3.peg.3454
 I-C1	 IC	RT-Toprim (DXD)	fig|351745.9.peg.2506
 I-C1	 IC	RT-Toprim (DXD)	fig|29497.20.peg.3798
 I-C1		RT-Toprim (DXD)	fig|1367486.3.peg.187
 I-C1	 IC	RT-Toprim (DXD)	fig|511062.4.peg.1890
 I-C1	 IC	RT-Toprim (DXD)	fig|654.12.peg.188
 I-C1	 IC	RT-Toprim (DXD)	fig|29497.21.peg.4482
 I-C1	 IC	RT-Toprim (DXD)	fig|1659713.3.peg.560
 I-C1	 IC	RT-Toprim (DXD)	fig|1124991.3.peg.3617
 I-C1	 IC	RT-Toprim (DXD)	fig|104623.3.peg.1381
 I-C1	 IC	RT-Toprim (DXD)	fig|1256989.3.peg.902
 I-C1	 IC	RT-Toprim (DXD)	fig|1125694.3.peg.1143
 I-C1	 IC	RT-Toprim (DXD)	fig|574096.6.peg.2693
 I-C1	 IC	RT-Toprim (DXD)	fig|1095774.3.peg.2623
 I-C1	 IC	RT-Toprim (DXD)	fig|869692.4.peg.2910
 I-C1	 IC	RT-Toprim (DXD)	WP_140159440.1
 I-C1	 IC	RT-Toprim (DXD)	fig|550.437.peg.1444
 I-C1	 IC	RT-Toprim (DXD)	fig|573.13605.peg.2600
 I-C1	 IC	RT-Toprim (DXD)	fig|550.285.peg.3783
 I-C1	 IC	RT-Toprim (DXD)	fig|1265672.3.peg.3869
